num,name,scheme,family,cls,corr,complexity,source,sorry,done,genuine,file
1,Two Sum,fold,hashing,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0001_TwoSum.lean
2,Add Two Numbers,fold,linked-list,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0002_AddTwoNumbers.lean
3,Longest Substring Without Repeating Characters,fold,sliding-window,True,True,,,False,True,True,lproofs/Lproofs/Problems/Fold/P0003_LongestSubstringNoRepeat.lean
4,Median of Two Sorted Arrays,bisection,binary-search,True,True,O(log n),,False,True,True,lproofs/Lproofs/Problems/Bisection/P0004_MedianTwoSortedArrays.lean
5,Longest Palindromic Substring,fold,string-other,True,True,O(n²),,False,True,True,lproofs/Lproofs/Problems/DP/P0005_LongestPalindromicSubstring.lean
6,,fold,string-other,False,False,,,False,False,,
7,Reverse Integer,fold,math-bit,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0007_ReverseInteger.lean
8,,fold,string-other,False,False,,,False,False,,
9,Palindrome Number,fold,math-bit,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0009_PalindromeNumber.lean
10,,dp,dp-grid,False,False,,,False,False,,
11,,fold,two-pointers,False,False,,,False,False,,
12,,fold,string-other,False,False,,,False,False,,
13,,fold,string-other,False,False,,,False,False,,
14,Longest Common Prefix,fold,string-other,True,True,O(Σ,,False,True,True,lproofs/Lproofs/Problems/Fold/P0014_LongestCommonPrefix.lean
15,,fold,two-pointers,False,False,,,False,False,,
16,,fold,two-pointers,False,False,,,False,False,,
17,Letter Combinations of a Phone Number,dp,backtracking,True,True,,,False,True,True,lproofs/Lproofs/Problems/DP/P0017_LetterCombinations.lean
18,,fold,two-pointers,False,False,,,False,False,,
19,,fold,fast-slow,False,False,,,False,False,,
20,Valid Parentheses,fold,pairing-stack,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0020_ValidParentheses.lean
21,Merge Two Sorted Lists,fold,linked-list,True,True,O(n+m),,False,True,True,lproofs/Lproofs/Problems/DP/P0021_MergeTwoSortedLists.lean
22,,dp,backtracking,False,False,,,False,False,,
24,Swap Nodes in Pairs,fold,linked-list,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0024_SwapNodesInPairs.lean
25,,fold,linked-list,False,False,,,False,False,,
26,Remove Duplicates from Sorted Array,fold,two-pointers,True,True,,,False,True,True,lproofs/Lproofs/Problems/Fold/P0026_RemoveDuplicatesSorted.lean
27,Remove Element,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0027_RemoveElement.lean
29,,fold,math-bit,False,False,,,False,False,,
30,,fold,sliding-window,False,False,,,False,False,,
31,,fold,two-pointers,False,False,,,False,False,,
32,,fold,pairing-stack,False,False,,,False,False,,
33,,bisection,binary-search,False,False,,,False,False,,
34,Find First and Last Position of Element in Sorted Array,bisection,binary-search,True,True,,,False,True,True,lproofs/Lproofs/Problems/Bisection/P0034_FindFirstLast.lean
35,Search Insert Position,bisection,binary-search,True,True,O(log n),,False,True,True,lproofs/Lproofs/Problems/Bisection/P0035_SearchInsert.lean
36,Valid Sudoku,fold,hashing,True,True,O(1),,False,True,True,lproofs/Lproofs/Problems/Fold/P0036_ValidSudoku.lean
37,Sudoku Solver,dp,backtracking,True,True,exp,,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0037_SudokuSolver.lean
38,Count and Say,fold,string-other,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0038_CountAndSay.lean
39,Combination Sum,dp,backtracking,True,True,exponential,,False,True,True,lproofs/Lproofs/Problems/DP/P0039_CombinationSum.lean
