surface_family,scheme
binary-search,bisection
backtracking,dp
bst,dp
dp-bitmask,dp
dp-digit,dp
dp-grid,dp
dp-interval,dp
dp-knapsack,dp
dp-linear,dp
dp-tree,dp
tree-aggregate,dp
tree-construct,dp
tree-traversal,dp
trie,dp
diff-array,fold
dutch-flag,fold
fast-slow,fold
hashing,fold
linked-list,fold
math-bit,fold
merge-intervals,fold
monotonic-stack,fold
pairing-stack,fold
prefix-sum,fold
sliding-window,fold
string-other,fold
two-pointers,fold
bellman-ford,relaxation
bfs,relaxation
dfs-flood,relaxation
dijkstra,relaxation
graph-other,relaxation
topo-sort,relaxation
union-find,relaxation
