company,window,num,rank,family,macro,klass,weight
microsoft,thirty-days,1,1,hashing,hashing,periph,1.0
microsoft,thirty-days,14,2,string-other,string,periph,1.0
microsoft,thirty-days,2,3,linked-list,linked-list,periph,1.0
microsoft,thirty-days,15,4,two-pointers,two-pointers,periph,1.0
microsoft,thirty-days,23,5,heap-topk,heap-select,periph,1.0
microsoft,thirty-days,128,6,hashing,hashing,periph,1.0
microsoft,thirty-days,297,7,tree-construct,tree,periph,1.0
microsoft,thirty-days,3,8,sliding-window,sliding-window,periph,1.0
microsoft,thirty-days,5,9,string-other,string,periph,1.0
microsoft,thirty-days,11,10,two-pointers,two-pointers,periph,1.0
microsoft,thirty-days,12,11,string-other,string,periph,1.0
microsoft,thirty-days,13,12,string-other,string,periph,1.0
microsoft,thirty-days,33,13,binary-search,binary-search,periph,1.0
microsoft,thirty-days,56,14,merge-intervals,intervals,periph,1.0
microsoft,thirty-days,75,15,dutch-flag,two-pointers,periph,1.0
microsoft,thirty-days,121,16,dp-linear,dp,core,1.0
microsoft,thirty-days,138,17,linked-list,linked-list,periph,1.0
microsoft,thirty-days,175,18,sql,sql,trivial,1.0
microsoft,thirty-days,239,19,monotonic-stack,stack,periph,1.0
microsoft,thirty-days,383,20,hashing,hashing,periph,1.0
microsoft,thirty-days,992,21,sliding-window,sliding-window,periph,1.0
microsoft,thirty-days,1353,22,greedy,greedy,periph,1.0
microsoft,thirty-days,1757,23,sql,sql,trivial,1.0
microsoft,thirty-days,2784,24,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,1,1,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,2,2,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,56,3,merge-intervals,intervals,periph,1.0
bloomberg,more-than-six-months,200,4,dfs-flood,graph-search,periph,1.0
bloomberg,more-than-six-months,380,5,design,design,periph,1.0
bloomberg,more-than-six-months,3,6,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,121,7,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,20,8,pairing-stack,stack,periph,1.0
bloomberg,more-than-six-months,14,9,string-other,string,periph,1.0
bloomberg,more-than-six-months,42,10,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,15,11,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,1169,12,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,430,13,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,5,14,string-other,string,periph,1.0
bloomberg,more-than-six-months,4,15,binary-search,binary-search,periph,1.0
