num,family
1,hashing
9,math-bit
4,binary-search
3,sliding-window
15,two-pointers
2,linked-list
121,dp-linear
13,string-other
56,merge-intervals
175,sql
1929,trivial
875,binary-search
128,hashing
5,string-other
88,two-pointers
347,heap-topk
2667,trivial
26,two-pointers
1148,sql
1757,sql
21,linked-list
12,string-other
204,number-theory
287,fast-slow
344,two-pointers
485,sliding-window
1768,string-other
33,binary-search
54,matrix-sim
295,heap-topk
146,design
496,monotonic-stack
217,hashing
215,heap-topk
1944,monotonic-stack
61,linked-list
7,math-bit
1838,sliding-window
1861,matrix-sim
213,dp-linear
253,diff-array
29,math-bit
931,dp-grid
3629,bfs
198,dp-linear
345,two-pointers
1914,matrix-sim
189,two-pointers
2553,string-other
168,math-bit
202,hashing
1109,diff-array
1004,sliding-window
1665,greedy
777,two-pointers
1674,diff-array
815,bfs
231,math-bit
2784,hashing
394,pairing-stack
197,sql
238,prefix-sum
410,binary-search
100,tree-traversal
105,tree-construct
45,greedy
3481,string-other
125,two-pointers
509,dp-linear
258,math-bit
1345,bfs
169,hashing
207,topo-sort
274,hashing
55,greedy
25,linked-list
242,hashing
2657,prefix-sum
359,design
3043,trie
69,binary-search
540,binary-search
49,hashing
53,dp-linear
610,sql
6,string-other
14,string-other
2140,dp-linear
122,greedy
1340,dp-linear
414,trivial
300,dp-linear
560,prefix-sum
532,hashing
704,binary-search
1011,binary-search
416,dp-knapsack
8,string-other
3121,string-other
48,matrix-sim
349,hashing
778,dijkstra
71,pairing-stack
103,bfs
2540,two-pointers
51,backtracking
22,backtracking
3300,math-bit
443,two-pointers
733,dfs-flood
424,sliding-window
3161,binary-search
75,dutch-flag
994,bfs
2619,trivial
28,string-matching
322,dp-knapsack
1729,sql
2126,greedy
42,monotonic-stack
494,dp-knapsack
151,string-other
977,two-pointers
190,math-bit
130,dfs-flood
102,bfs
11,two-pointers
1470,trivial
912,heap-topk
3633,greedy
20,pairing-stack
200,dfs-flood
206,linked-list
17,backtracking
354,binary-search
503,monotonic-stack
876,fast-slow
1502,trivial
18,two-pointers
27,two-pointers
31,two-pointers
34,binary-search
46,backtracking
67,math-bit
118,dp-linear
152,dp-linear
155,design
283,two-pointers
739,monotonic-stack
2235,trivial
35,binary-search
39,backtracking
74,binary-search
240,binary-search
645,hashing
3225,dp-grid
10,dp-grid
58,string-other
62,dp-grid
68,string-other
70,dp-linear
83,linked-list
162,binary-search
239,monotonic-stack
329,dp-grid
383,hashing
595,sql
621,greedy
643,sliding-window
1480,prefix-sum
1722,union-find
3742,dp-grid
32,pairing-stack
41,hashing
66,math-bit
72,dp-grid
73,matrix-sim
78,backtracking
80,two-pointers
85,monotonic-stack
109,tree-construct
138,linked-list
139,dp-linear
141,fast-slow
167,two-pointers
179,greedy
224,pairing-stack
226,tree-traversal
232,design
328,linked-list
448,hashing
518,dp-knapsack
642,trie
662,bfs
735,pairing-stack
746,dp-linear
787,bellman-ford
796,string-other
834,dp-tree
907,monotonic-stack
1094,diff-array
1101,union-find
1539,binary-search
1581,sql
1727,greedy
1922,math-bit
2965,hashing
3474,greedy
3660,dp-linear
16,two-pointers
19,fast-slow
24,linked-list
30,sliding-window
36,hashing
43,string-other
44,dp-grid
50,math-bit
57,merge-intervals
79,backtracking
84,monotonic-stack
90,backtracking
99,bst
101,tree-traversal
110,tree-aggregate
126,bfs
127,bfs
131,backtracking
136,math-bit
143,linked-list
268,math-bit
234,fast-slow
37,backtracking
160,linked-list
181,sql
205,hashing
1752,two-pointers
3453,binary-search
219,hashing
904,sliding-window
209,sliding-window
380,design
387,hashing
743,dijkstra
799,dp-grid
137,math-bit
153,binary-search
210,topo-sort
221,dp-grid
236,tree-aggregate
278,binary-search
442,hashing
703,heap-topk
843,string-other
2149,two-pointers
3637,two-pointers
60,math-bit
124,dp-tree
176,sql
304,prefix-sum
371,math-bit
528,binary-search
636,pairing-stack
833,string-other
844,two-pointers
1526,greedy
2995,sql
23,heap-topk
3625,geometry
3355,diff-array
135,greedy
2877,trivial
3623,geometry
402,monotonic-stack
852,binary-search
715,design
939,hashing
584,sql
493,binary-search
543,tree-aggregate
76,sliding-window
2337,two-pointers
1825,design
1071,string-other
1207,hashing
567,sliding-window
2402,heap-topk
229,hashing
547,union-find
148,linked-list
326,math-bit
3356,diff-array
