num,family,scheme,proven
39,backtracking,dp,True
41,hashing,fold,True
48,matrix-sim,tail,False
50,math-bit,fold,True
51,backtracking,dp,True
61,linked-list,fold,True
62,dp-grid,dp,True
63,dp-grid,dp,True
65,string-other,fold,True
66,math-bit,fold,True
73,matrix-sim,tail,False
76,sliding-window,fold,True
81,binary-search,bisection,True
85,monotonic-stack,fold,True
92,linked-list,fold,True
98,bst,dp,True
102,bfs,relaxation,True
105,tree-construct,dp,True
113,backtracking,dp,True
129,tree-aggregate,dp,True
135,greedy,tail,False
148,linked-list,fold,True
162,binary-search,bisection,True
172,math-bit,fold,True
173,bst,dp,True
191,math-bit,fold,True
211,trie,dp,True
212,trie,dp,True
219,hashing,fold,True
240,binary-search,bisection,True
258,math-bit,fold,True
274,hashing,fold,True
278,binary-search,bisection,True
312,dp-interval,dp,True
322,dp-knapsack,dp,True
332,graph-other,relaxation,True
415,string-other,fold,True
417,dfs-flood,relaxation,True
442,hashing,fold,True
443,two-pointers,fold,True
463,matrix-sim,tail,False
480,heap-topk,tail,False
505,dijkstra,relaxation,True
545,tree-traversal,dp,True
549,dp-tree,dp,True
560,prefix-sum,fold,True
585,sql,tail,False
642,trie,dp,True
648,trie,dp,True
678,greedy,tail,False
729,design,tail,False
733,dfs-flood,relaxation,True
797,graph-other,relaxation,True
799,dp-grid,dp,True
815,bfs,relaxation,True
825,hashing,fold,True
833,string-other,fold,True
863,bfs,relaxation,True
931,dp-grid,dp,True
941,two-pointers,fold,True
992,sliding-window,fold,True
1146,design,tail,False
1174,sql,tail,False
1193,sql,tail,False
1251,sql,tail,False
1280,sql,tail,False
1368,dijkstra,relaxation,True
1423,sliding-window,fold,True
1431,trivial,tail,False
1470,trivial,tail,False
1494,dp-bitmask,dp,False
1539,binary-search,bisection,True
1584,union-find,relaxation,True
1603,design,tail,False
1614,pairing-stack,fold,True
1648,binary-search,bisection,True
1651,sql,tail,False
1673,monotonic-stack,fold,True
1691,dp-linear,dp,False
1719,graph-other,relaxation,True
1727,greedy,tail,False
1768,string-other,fold,True
1778,bfs,relaxation,True
1818,binary-search,bisection,True
1871,dp-linear,dp,True
1968,greedy,tail,False
2092,union-find,relaxation,True
2187,binary-search,bisection,True
2214,dp-linear,dp,True
2282,monotonic-stack,fold,True
2444,sliding-window,fold,True
2833,trivial,tail,False
2858,graph-other,relaxation,True
2912,dp-grid,dp,True
3129,dp-linear,dp,False
3161,binary-search,bisection,True
3387,graph-other,relaxation,True
3625,geometry,tail,False
3741,hashing,fold,True
3868,greedy,tail,False
